rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
3669,29678/munchkin-quest,Munchkin Quest,2,4,180,180,180,5.91902,5.72865,3099,https://cf.geekdo-images.com/images/pic294853.jpg,12,"Dice Rolling, Modular Board, Role Playing",6777,"Adventure, Exploration, Fantasy, Fighting, Humor",2.5124
3670,92852/say-anything-family-edition,Say Anything Family Edition,3,6,30,30,30,6.72608,5.72851,248,https://cf.geekdo-images.com/images/pic958277.jpg,8,Betting/Wagering,580,"Humor, Party Game",1.4444
3671,2076/gulf-strike,Gulf Strike,2,2,360,360,360,6.58209,5.72836,349,https://cf.geekdo-images.com/images/pic147586.jpg,12,"Hex-and-Counter, Simulation",1309,"Modern Warfare, Wargame",4.3553
3672,366/viva-pamplona,Viva Pamplona!,2,6,45,45,45,6.35792,5.72822,370,https://cf.geekdo-images.com/images/pic1111577.jpg,8,"Dice Rolling, Roll / Spin and Move",306,Racing,1.375
3673,184866/wings-baron-second-edition,Wings for the Baron (second edition),3,5,45,45,0,7.38912,5.72813,147,https://cf.geekdo-images.com/images/pic2682989.jpg,13,"Hand Management, Simultaneous Action Selection, Variable Player Powers",283,"Aviation / Flight, Industry / Manufacturing, World War I",2.5385
3674,15474/zombiaki,Zombiaki,2,2,15,15,15,6.16441,5.72795,676,https://cf.geekdo-images.com/images/pic1614754.jpg,8,"Card Drafting, Hand Management",889,"Card Game, Fighting, Humor, Zombies",1.6176
3675,126000/letnisko,Letnisko,2,5,45,45,45,6.7124,5.72781,258,https://cf.geekdo-images.com/images/pic1604916.jpg,8,Worker Placement,350,"Card Game, Economic",2.2105
3676,143882/ebbes,ebbes,3,5,45,45,45,6.78725,5.72774,255,https://cf.geekdo-images.com/images/pic1789659.jpg,10,Trick-taking,323,Card Game,2.2105
3677,135215/lords-war-orcs-versus-dwarves,Lords of War: Orcs versus Dwarves,2,8,30,30,30,6.82597,5.72773,295,https://cf.geekdo-images.com/images/pic1575914.jpg,12,"Hand Management, Player Elimination, Variable Player Powers",660,"Card Game, Fantasy, Wargame",1.9
3678,181122/wrath-dragons,Wrath of Dragons,2,6,90,90,0,7.20702,5.72766,178,https://cf.geekdo-images.com/images/pic2597084.jpg,12,"Hand Management, Simultaneous Action Selection, Worker Placement",389,Fantasy,2.8333
3679,8017/feurio,Feurio!,1,4,30,30,30,6.15063,5.72728,557,https://cf.geekdo-images.com/images/pic32854.jpg,10,"Modular Board, Tile Placement",683,"Abstract Strategy, Environmental",2
3680,40234/einauge-sei-wachsam,Einauge sei wachsam!,2,5,45,45,45,6.32122,5.72725,403,https://cf.geekdo-images.com/images/pic434077.jpg,10,Set Collection,329,"Card Game, Pirates",1.8182
3681,223278/palace-mad-king-ludwig,The Palace of Mad King Ludwig,2,4,75,75,75,6.90083,5.72724,216,https://cf.geekdo-images.com/images/pic3464108.jpg,13,Tile Placement,214,Post-Napoleonic,3
3682,104627/feudalia,Feudalia,1,4,90,90,90,7.57472,5.7271,123,https://cf.geekdo-images.com/images/pic3143053.jpg,14,"Card Drafting, Deck / Pool Building, Hand Management, Trading, Worker Placement",253,"Card Game, City Building, Civilization, Medieval, Negotiation",3.1538
3683,33759/omega-centauri,Omega Centauri,2,4,60,60,60,7.07714,5.72709,192,https://cf.geekdo-images.com/images/pic2061273.jpg,12,"Modular Board, Variable Phase Order",388,"Civilization, Science Fiction",3.1429
3684,176980/helionox-last-sunset,Helionox: The Last Sunset,1,4,60,30,60,7.11922,5.72699,203,https://cf.geekdo-images.com/images/pic2645762.jpg,13,"Deck / Pool Building, Hand Management, Route/Network Building, Variable Player Powers, Worker Placement",516,"Card Game, Science Fiction",2.3846
3685,163377/rolling-japan,Rolling Japan,1,99,15,15,15,6.2854,5.72697,411,https://cf.geekdo-images.com/images/pic2107479.jpg,8,"Dice Rolling, Paper-and-Pencil",507,"Dice, Number, Puzzle",1.5217
3686,159141/code-nine,Code of Nine,3,4,40,40,40,6.52312,5.72677,317,https://cf.geekdo-images.com/images/pic2556408.png,13,Worker Placement,665,"Bluffing, Deduction, Science Fiction",2.4
3687,5233/great-battles-alexander,The Great Battles of Alexander,2,2,240,240,240,7.03384,5.72672,200,https://cf.geekdo-images.com/images/pic19606.jpg,12,"Dice Rolling, Hex-and-Counter, Simulation",529,"Ancient, Fighting, Wargame",3.4545
3688,40/borderlands,Borderlands,2,4,120,120,120,6.76858,5.72669,258,https://cf.geekdo-images.com/images/pic651637.jpg,12,"Area Movement, Trading",524,"Bluffing, Civilization, Fantasy, Negotiation, Political",2.7727
