rank,bgg_url,names,min_players,max_players,avg_time,min_time,max_time,avg_rating,geek_rating,num_votes,image_url,age,mechanic,owned,category,weight
1,174430/gloomhaven,Gloomhaven,1,4,150,90,150,9.0131,8.52234,9841,https://cf.geekdo-images.com/images/pic2437871.jpg,12,"Action / Movement Programming, Co-operative Play, Grid Movement, Hand Management, Modular Board, Role Playing, Simultaneous Action Selection, Storytelling, Variable Player Powers",18217,"Adventure, Exploration, Fantasy, Fighting, Miniatures",3.772
2,161936/pandemic-legacy-season-1,Pandemic Legacy: Season 1,2,4,60,60,60,8.66575,8.49837,23489,https://cf.geekdo-images.com/images/pic2452831.png,13,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",38105,"Environmental, Medical",2.8056
3,182028/through-ages-new-story-civilization,Through the Ages: A New Story of Civilization,2,4,240,180,240,8.65702,8.32401,10679,https://cf.geekdo-images.com/images/pic2663291.jpg,14,"Action Point Allowance System, Auction/Bidding, Card Drafting",14147,"Card Game, Civilization, Economic",4.3538
4,12333/twilight-struggle,Twilight Struggle,2,2,180,120,180,8.35188,8.21012,29923,https://cf.geekdo-images.com/images/pic361592.jpg,13,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Hand Management, Simultaneous Action Selection",41094,"Modern Warfare, Political, Wargame",3.5446
5,167791/terraforming-mars,Terraforming Mars,1,5,120,120,120,8.38331,8.17328,20468,https://cf.geekdo-images.com/images/pic3536616.jpg,12,"Card Drafting, Hand Management, Tile Placement, Variable Player Powers",26145,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",3.2465
6,187645/star-wars-rebellion,Star Wars: Rebellion,2,4,240,180,240,8.50113,8.16882,11779,https://cf.geekdo-images.com/images/pic2737530.png,14,"Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Variable Player Powers",18673,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",3.6067
7,120677/terra-mystica,Terra Mystica,2,5,150,60,150,8.26516,8.12059,27621,https://cf.geekdo-images.com/images/pic1356616.jpg,12,"Area Control / Area Influence, Route/Network Building, Variable Phase Order, Variable Player Powers",31318,"Civilization, Economic, Fantasy, Territory Building",3.9429
8,169786/scythe,Scythe,1,5,115,90,115,8.29686,8.0932,24598,https://cf.geekdo-images.com/images/pic3163924.jpg,14,"Area Control / Area Influence, Grid Movement, Simultaneous Action Selection, Variable Player Powers",32621,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",3.3539
9,173346/7-wonders-duel,7 Wonders Duel,2,2,30,30,30,8.15458,8.0096,28278,https://cf.geekdo-images.com/images/pic3376065.jpg,10,"Card Drafting, Set Collection",44173,"Ancient, Card Game, City Building, Civilization",2.2394
10,193738/great-western-trail,Great Western Trail,2,4,150,75,150,8.28225,8.00248,10924,https://cf.geekdo-images.com/images/pic3113247.jpg,12,"Deck / Pool Building, Hand Management, Point to Point Movement, Tile Placement",13899,American West,3.7094
11,84876/castles-burgundy,The Castles of Burgundy,2,4,90,30,90,8.11505,7.9986,29230,https://cf.geekdo-images.com/images/pic1176894.jpg,12,"Dice Rolling, Set Collection, Tile Placement, Variable Phase Order",40858,"Dice, Medieval, Territory Building",3.0278
12,115746/war-ring-second-edition,War of the Ring (Second Edition),2,4,180,150,180,8.39508,7.97852,7484,https://cf.geekdo-images.com/images/pic1215633.jpg,13,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",12187,"Adventure, Dice, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame",4.0135
13,102794/caverna-cave-farmers,Caverna: The Cave Farmers,1,7,210,30,210,8.1408,7.97114,19751,https://cf.geekdo-images.com/images/pic1790789.jpg,12,"Tile Placement, Worker Placement",25431,"Animals, Economic, Fantasy, Farming",3.7865
14,3076/puerto-rico,Puerto Rico,2,5,150,90,150,8.0715,7.96094,51205,https://cf.geekdo-images.com/images/pic158548.jpg,12,Variable Phase Order,59005,"City Building, Economic, Farming",3.2942
15,31260/agricola,Agricola,1,5,150,30,150,8.03366,7.9355,51781,https://cf.geekdo-images.com/images/pic259085.jpg,12,"Area Enclosure, Card Drafting, Hand Management, Variable Player Powers, Worker Placement",62606,"Animals, Economic, Farming",3.6323
16,96848/mage-knight-board-game,Mage Knight Board Game,1,4,150,150,150,8.12893,7.92632,20496,https://cf.geekdo-images.com/images/pic1083380.jpg,14,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling, Grid Movement, Hand Management, Modular Board, Role Playing, Tile Placement, Variable Player Powers",30703,"Adventure, Exploration, Fantasy, Fighting",4.2297
17,170216/blood-rage,Blood Rage,2,4,90,60,90,8.10843,7.90469,18649,https://cf.geekdo-images.com/images/pic2439223.jpg,14,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",23647,"Fantasy, Fighting, Miniatures, Mythology",2.8935
18,205637/arkham-horror-card-game,Arkham Horror: The Card Game,1,2,120,60,120,8.29144,7.89934,9754,https://cf.geekdo-images.com/images/pic3122349.jpg,14,"Action Point Allowance System, Co-operative Play, Deck / Pool Building, Hand Management, Role Playing, Variable Player Powers",18921,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based",3.1749
19,205059/mansions-madness-second-edition,Mansions of Madness: Second Edition,1,5,180,120,180,8.23409,7.89133,10510,https://cf.geekdo-images.com/images/pic3118622.jpg,14,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Modular Board, Partnerships, Role Playing, Variable Player Powers",17062,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",2.6344
20,25613/through-ages-story-civilization,Through the Ages: A Story of Civilization,2,4,240,240,240,8.05319,7.88082,16005,https://cf.geekdo-images.com/images/pic236169.jpg,12,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management",16245,"Civilization, Economic",4.1709
21,209010/mechs-vs-minions,Mechs vs. Minions,2,4,90,60,90,8.2592,7.8782,8087,https://cf.geekdo-images.com/images/pic3184103.jpg,14,"Action / Movement Programming, Card Drafting, Co-operative Play, Dice Rolling, Modular Board, Variable Player Powers",13139,"Fantasy, Fighting, Miniatures, Video Game Theme",2.4511
22,183394/viticulture-essential-edition,Viticulture Essential Edition,1,6,90,45,90,8.17,7.87286,9513,https://cf.geekdo-images.com/images/pic2649952.jpg,13,"Hand Management, Variable Phase Order, Worker Placement",13670,"Economic, Farming",2.9563
23,164153/star-wars-imperial-assault,Star Wars: Imperial Assault,2,5,120,60,120,8.16192,7.87141,13445,https://cf.geekdo-images.com/images/pic2247647.jpg,14,"Dice Rolling, Grid Movement, Modular Board, Partnerships, Role Playing, Variable Player Powers",23681,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",3.2768
24,124361/concordia,Concordia,2,5,100,100,100,8.05621,7.85535,13370,https://cf.geekdo-images.com/images/pic3453267.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management, Point to Point Movement",15361,"Ancient, Economic, Nautical",3.1229
25,164928/orleans,Orleans,2,4,90,90,90,8.08325,7.84462,11413,https://cf.geekdo-images.com/images/pic2578828.png,12,"Deck / Pool Building, Point to Point Movement, Worker Placement",13458,"Medieval, Religious, Travel",3.1071
26,2651/power-grid,Power Grid,2,6,120,120,120,7.92341,7.83976,45208,https://cf.geekdo-images.com/images/pic173153.jpg,12,"Auction/Bidding, Route/Network Building",52087,"Economic, Industry / Manufacturing",3.284
27,72125/eclipse,Eclipse,2,6,200,60,200,7.9873,7.82639,21978,https://cf.geekdo-images.com/images/pic1974056.jpg,14,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board, Player Elimination, Tile Placement, Variable Phase Order, Variable Player Powers",23936,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",3.6827
28,175914/food-chain-magnate,Food Chain Magnate,2,5,240,120,240,8.22259,7.81454,6483,https://cf.geekdo-images.com/images/pic2649434.png,14,"Card Drafting, Deck / Pool Building, Modular Board, Route/Network Building, Simultaneous Action Selection",7605,"Economic, Industry / Manufacturing",4.2026
29,177736/feast-odin,A Feast for Odin,1,4,120,30,120,8.2147,7.80113,6824,https://cf.geekdo-images.com/images/pic3146943.png,12,"Area Enclosure, Dice Rolling, Pattern Building, Press Your Luck, Tile Placement, Worker Placement",9318,"Economic, Industry / Manufacturing, Medieval, Puzzle",3.8745
30,121921/robinson-crusoe-adventures-cursed-island,Robinson Crusoe: Adventures on the Cursed Island,1,4,120,60,120,7.97108,7.79835,21599,https://cf.geekdo-images.com/images/pic3165731.jpg,14,"Action / Movement Programming, Co-operative Play, Deck / Pool Building, Dice Rolling, Storytelling, Tile Placement, Variable Player Powers, Worker Placement",32911,"Adventure, Exploration, Fighting, Novel-based",3.7199
31,28720/brass-lancashire,Brass: Lancashire,2,4,180,120,180,8.0079,7.79498,11207,https://cf.geekdo-images.com/images/pic3469216.jpg,14,"Hand Management, Route/Network Building",11888,"Economic, Industry / Manufacturing, Transportation",3.8744
32,126163/tzolk-mayan-calendar,Tzolk'in: The Mayan Calendar,2,4,90,90,90,7.93453,7.78638,20244,https://cf.geekdo-images.com/images/pic1413480.jpg,13,"Set Collection, Worker Placement",23138,"Ancient, Civilization, Economic, Farming, Mythology",3.6354
33,35677/le-havre,Le Havre,1,5,150,30,150,7.91515,7.78617,20531,https://cf.geekdo-images.com/images/pic3330230.jpg,12,Worker Placement,22295,"City Building, Economic, Industry / Manufacturing, Nautical",3.7588
34,124742/android-netrunner,Android: Netrunner,2,2,45,45,45,7.94351,7.76565,21975,https://cf.geekdo-images.com/images/pic3738560.jpg,14,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers",34501,"Bluffing, Card Game, Collectible Components, Science Fiction",3.3541
35,55690/kingdom-death-monster,Kingdom Death: Monster,1,6,180,60,180,8.98082,7.75668,4022,https://cf.geekdo-images.com/images/pic2931007.jpg,17,"Co-operative Play, Dice Rolling, Grid Movement, Role Playing, Storytelling",6020,"Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",4.2158
36,171623/voyages-marco-polo,The Voyages of Marco Polo,2,4,100,40,100,7.97219,7.74016,11557,https://cf.geekdo-images.com/images/pic2461346.png,12,"Card Drafting, Dice Rolling, Point to Point Movement, Set Collection, Variable Player Powers, Worker Placement",13553,"Dice, Economic, Medieval, Travel",3.1864
37,180263/7th-continent,The 7th Continent,1,4,1000,5,1000,8.7403,7.73021,3362,https://cf.geekdo-images.com/images/pic2648303.jpg,14,"Co-operative Play, Hand Management, Modular Board, Storytelling",6604,"Adventure, Card Game, Exploration, Horror, Science Fiction",2.8615
38,178900/codenames,Codenames,2,8,15,15,15,7.82596,7.7283,38422,https://cf.geekdo-images.com/images/pic2582929.jpg,14,"Memory, Partnerships, Pattern Recognition, Press Your Luck",60771,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",1.3471
39,122515/keyflower,Keyflower,2,6,120,90,120,7.90815,7.72627,13441,https://cf.geekdo-images.com/images/pic2278942.jpg,12,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver, Route/Network Building, Set Collection, Tile Placement, Worker Placement",16461,"City Building, Economic, Nautical, Renaissance, Territory Building",3.3407
40,68448/7-wonders,7 Wonders,2,7,30,30,30,7.81302,7.72443,58363,https://cf.geekdo-images.com/images/pic860217.jpg,10,"Card Drafting, Hand Management, Set Collection, Simultaneous Action Selection, Variable Player Powers",76022,"Ancient, Card Game, City Building, Civilization",2.3425
41,146508/time-stories,T.I.M.E Stories,2,4,240,90,240,7.93947,7.72144,14236,https://cf.geekdo-images.com/images/pic2617634.png,12,"Co-operative Play, Dice Rolling, Role Playing, Storytelling, Time Track, Variable Player Powers",22239,"Adventure, Mature / Adult, Science Fiction",2.6657
42,18602/caylus,Caylus,2,5,150,60,150,7.83973,7.69617,22981,https://cf.geekdo-images.com/images/pic1638795.jpg,12,Worker Placement,23284,"City Building, Economic, Medieval",3.818
43,146021/eldritch-horror,Eldritch Horror,1,8,240,120,240,7.91987,7.69059,19177,https://cf.geekdo-images.com/images/pic1872452.jpg,14,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers",28786,"Adventure, Fantasy, Fighting, Horror, Novel-based",3.3105
44,12493/twilight-imperium-third-edition,Twilight Imperium (Third Edition),3,6,240,180,240,7.91225,7.69023,16171,https://cf.geekdo-images.com/images/pic50404.jpg,14,"Action Point Allowance System, Area-Impulse, Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting",18479,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",4.2378
45,28143/race-galaxy,Race for the Galaxy,2,4,60,30,60,7.76621,7.6761,36804,https://cf.geekdo-images.com/images/pic236327.jpg,12,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",44213,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",2.9725
46,110327/lords-waterdeep,Lords of Waterdeep,2,5,120,60,120,7.7901,7.67272,32876,https://cf.geekdo-images.com/images/pic1116080.jpg,12,"Set Collection, Take That, Worker Placement",40353,"City Building, Fantasy",2.497
47,62219/dominant-species,Dominant Species,2,6,240,120,240,7.84941,7.66724,13863,https://cf.geekdo-images.com/images/pic784193.jpg,14,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board, Tile Placement, Variable Player Powers, Worker Placement",14406,"Animals, Environmental, Prehistoric",4.0345
48,157354/five-tribes,Five Tribes,2,4,80,40,80,7.80606,7.66228,20791,https://cf.geekdo-images.com/images/pic2055255.jpg,13,"Area Control / Area Influence, Auction/Bidding, Modular Board, Set Collection, Variable Phase Order",27209,"Arabian, Fantasy, Mythology",2.8966
49,93/el-grande,El Grande,2,5,120,60,120,7.79257,7.65678,19489,https://cf.geekdo-images.com/images/pic180538.jpg,12,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",18802,Renaissance,3.08
50,163412/patchwork,Patchwork,2,2,30,15,30,7.77702,7.6546,24637,https://cf.geekdo-images.com/images/pic2270442.jpg,8,"Tile Placement, Time Track",36532,"Abstract Strategy, Puzzle",1.7135
51,132531/roll-galaxy,Roll for the Galaxy,2,5,45,45,45,7.80183,7.64919,17399,https://cf.geekdo-images.com/images/pic1473629.jpg,13,"Deck / Pool Building, Dice Rolling, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers",22413,"Civilization, Dice, Economic, Science Fiction, Space Exploration",2.7585
52,159675/fields-arle,Fields of Arle,1,2,120,60,120,8.18531,7.64839,4382,https://cf.geekdo-images.com/images/pic2225968.png,13,Worker Placement,7165,"Economic, Farming, Industry / Manufacturing",3.9087
53,40834/dominion-intrigue,Dominion: Intrigue,2,4,30,30,30,7.77386,7.64613,24730,https://cf.geekdo-images.com/images/pic460011.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",35269,"Card Game, Medieval",2.441
54,201808/clank-deck-building-adventure,Clank!: A Deck-Building Adventure,1,4,60,30,60,7.94548,7.63635,9294,https://cf.geekdo-images.com/images/pic3056966.jpg,12,"Card Drafting, Deck / Pool Building, Player Elimination, Point to Point Movement, Press Your Luck",13068,"Adventure, Fantasy",2.2338
55,150376/dead-winter-crossroads-game,Dead of Winter: A Crossroads Game,2,5,210,45,210,7.77802,7.63439,27015,https://cf.geekdo-images.com/images/pic3016500.jpg,14,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling, Hand Management, Press Your Luck, Storytelling, Trading, Variable Player Powers, Voting",37363,"Bluffing, Deduction, Horror, Zombies",3.0026
56,103885/star-wars-x-wing-miniatures-game,Star Wars: X-Wing Miniatures Game,2,2,45,30,45,7.84235,7.63079,18594,https://cf.geekdo-images.com/images/pic1603292.jpg,14,"Action / Movement Programming, Dice Rolling, Player Elimination, Simultaneous Action Selection, Variable Player Powers",31598,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",2.4723
57,37111/battlestar-galactica-board-game,Battlestar Galactica: The Board Game,3,6,300,120,300,7.75995,7.61932,27170,https://cf.geekdo-images.com/images/pic354500.jpg,10,"Area Movement, Co-operative Play, Dice Rolling, Hand Management, Partnerships, Role Playing, Variable Player Powers",30247,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",3.2296
58,221107/pandemic-legacy-season-2,Pandemic Legacy: Season 2,2,4,60,60,60,8.70088,7.59842,2285,https://cf.geekdo-images.com/images/pic3763549.jpg,14,"Co-operative Play, Hand Management, Pick-up and Deliver, Point to Point Movement, Set Collection, Variable Player Powers",6981,"Environmental, Exploration, Medical",3.1429
59,2511/sherlock-holmes-consulting-detective-thames-murder,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,60,120,7.8319,7.59583,10699,https://cf.geekdo-images.com/images/pic3514298.jpg,10,"Co-operative Play, Storytelling",21417,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents",2.7692
60,172386/mombasa,Mombasa,2,4,150,75,150,7.95735,7.59141,6443,https://cf.geekdo-images.com/images/pic2611318.jpg,12,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Simultaneous Action Selection, Stock Holding, Variable Player Powers, Worker Placement",8333,Economic,3.8727
61,144733/russian-railroads,Russian Railroads,2,4,120,90,120,7.80812,7.58293,10226,https://cf.geekdo-images.com/images/pic1772936.jpg,12,Worker Placement,11015,"Industry / Manufacturing, Trains",3.4123
62,102680/trajan,Trajan,2,4,120,60,120,7.80504,7.5815,10839,https://cf.geekdo-images.com/images/pic1054375.jpg,12,"Area Movement, Card Drafting, Hand Management, Set Collection",12830,"Ancient, Political",3.6763
63,73439/troyes,Troyes,2,4,90,90,90,7.76474,7.58133,12664,https://cf.geekdo-images.com/images/pic750583.jpg,12,"Area Control / Area Influence, Dice Rolling, Worker Placement",13661,"Dice, Economic, Medieval",3.463
64,36218/dominion,Dominion,2,4,30,30,30,7.67674,7.58104,60842,https://cf.geekdo-images.com/images/pic394356.jpg,13,"Card Drafting, Deck / Pool Building, Hand Management",78903,"Card Game, Medieval",2.3714
65,42/tigris-euphrates,Tigris & Euphrates,2,4,90,90,90,7.71475,7.57883,21328,https://cf.geekdo-images.com/images/pic2338267.jpg,12,"Area Control / Area Influence, Hand Management, Set Collection, Tile Placement",23596,"Abstract Strategy, Ancient, Civilization, Territory Building",3.5283
66,30549/pandemic,Pandemic,2,4,45,45,45,7.6615,7.56992,70501,https://cf.geekdo-images.com/images/pic1534148.jpg,8,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",102218,Medical,2.4277
67,220308/gaia-project,Gaia Project,1,4,150,60,150,8.80254,7.56951,2042,https://cf.geekdo-images.com/images/pic3763556.jpg,12,"Modular Board, Route/Network Building, Variable Phase Order, Variable Player Powers",3178,"Civilization, Economic, Science Fiction, Territory Building",4.2857
68,194655/santorini,Santorini,2,4,20,20,20,7.86862,7.56751,8718,https://cf.geekdo-images.com/images/pic3283110.png,8,"Grid Movement, Tile Placement, Variable Player Powers",14264,"Abstract Strategy, Ancient, Mythology",1.7654
69,125153/gallerist,The Gallerist,1,4,150,60,150,8.031,7.56335,4898,https://cf.geekdo-images.com/images/pic2503200.png,13,"Commodity Speculation, Set Collection, Worker Placement",7333,Economic,4.2679
70,521/crokinole,Crokinole,2,4,30,30,30,7.79399,7.55086,8399,https://cf.geekdo-images.com/images/pic79413.jpg,8,Partnerships,6170,Action / Dexterity,1.2827
71,104162/descent-journeys-dark-second-edition,Descent: Journeys in the Dark (Second Edition),2,5,120,120,120,7.77145,7.54258,16512,https://cf.geekdo-images.com/images/pic1180640.jpg,14,"Action Point Allowance System, Dice Rolling, Grid Movement, Hand Management, Modular Board, Partnerships, Variable Player Powers",26375,"Adventure, Exploration, Fantasy, Fighting, Miniatures",3.2077
72,127023/kemet,Kemet,2,5,120,90,120,7.76789,7.53311,10713,https://cf.geekdo-images.com/images/pic1431241.jpg,13,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Card Drafting, Hand Management, Variable Phase Order",12603,"Ancient, Fighting, Miniatures, Mythology",2.988
73,155426/castles-mad-king-ludwig,Castles of Mad King Ludwig,1,4,90,90,90,7.68744,7.53002,15699,https://cf.geekdo-images.com/images/pic1961827.jpg,13,"Card Drafting, Pattern Building, Set Collection, Tile Placement",20792,Post-Napoleonic,2.6731
74,9609/war-ring-first-edition,War of the Ring (first edition),2,4,120,120,120,7.79964,7.52505,9133,https://cf.geekdo-images.com/images/pic725882.jpg,12,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Hand Management",11712,"Adventure, Dice, Fantasy, Miniatures, Novel-based, Territory Building, Wargame",3.8403
75,34635/stone-age,Stone Age,2,4,90,60,90,7.62311,7.52487,33431,https://cf.geekdo-images.com/images/pic1632539.jpg,10,"Dice Rolling, Set Collection, Worker Placement",35411,"Dice, Prehistoric",2.5023
76,161970/alchemists,Alchemists,2,4,120,120,120,7.73627,7.51564,11792,https://cf.geekdo-images.com/images/pic2241156.png,13,"Action Point Allowance System, Card Drafting, Hand Management, Worker Placement",15694,"Deduction, Fantasy",3.8132
77,216132/clans-caledonia,Clans of Caledonia,1,4,120,30,120,8.21241,7.51293,3337,https://cf.geekdo-images.com/images/pic3511783.png,12,"Commodity Speculation, Modular Board, Route/Network Building, Variable Player Powers",5277,Economic,3.3827
78,128882/resistance-avalon,The Resistance: Avalon,5,10,30,30,30,7.68066,7.51258,18531,https://cf.geekdo-images.com/images/pic1398895.jpg,13,"Memory, Partnerships, Simultaneous Action Selection, Variable Player Powers, Voting",26138,"Bluffing, Card Game, Deduction, Fantasy, Medieval, Negotiation, Party Game, Spies/Secret Agents",1.7832
79,103343/game-thrones-board-game-second-edition,A Game of Thrones: The Board Game (Second Edition),3,6,240,120,240,7.70907,7.51204,20279,https://cf.geekdo-images.com/images/pic1077906.jpg,14,"Area Control / Area Influence, Area Movement, Auction/Bidding, Hand Management, Player Elimination, Simultaneous Action Selection, Variable Player Powers",26338,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame",3.6627
80,175155/forbidden-stars,Forbidden Stars,2,4,180,120,180,8.02822,7.50721,4794,https://cf.geekdo-images.com/images/pic2471359.jpg,14,"Area Control / Area Influence, Dice Rolling, Hand Management, Modular Board, Variable Player Powers",8765,"Bluffing, Fighting, Miniatures, Science Fiction, Wargame",3.7622
81,155068/arcadia-quest,Arcadia Quest,2,4,60,60,60,7.92246,7.50315,6190,https://cf.geekdo-images.com/images/pic2305263.jpg,13,"Dice Rolling, Grid Movement, Modular Board, Variable Player Powers",10304,"Adventure, Fantasy, Fighting, Miniatures",2.5357
82,146652/legendary-encounters-alien-deck-building-game,Legendary Encounters: An Alien Deck Building Game,1,5,45,45,45,7.8331,7.5009,7605,https://cf.geekdo-images.com/images/pic2225180.jpg,17,"Card Drafting, Co-operative Play, Deck / Pool Building, Partnerships, Player Elimination, Variable Player Powers",11214,"Card Game, Fighting, Horror, Movies / TV / Radio theme, Science Fiction",2.7232
83,147020/star-realms,Star Realms,2,2,20,20,20,7.63582,7.49436,22548,https://cf.geekdo-images.com/images/pic1903816.jpg,12,"Card Drafting, Deck / Pool Building, Hand Management, Take That",34128,"Card Game, Fighting, Science Fiction",1.975
84,70149/ora-et-labora,Ora et Labora,1,4,180,60,180,7.76079,7.49184,8054,https://cf.geekdo-images.com/images/pic1165426.jpg,13,"Modular Board, Pattern Building, Set Collection, Tile Placement, Worker Placement",10087,"City Building, Economic, Industry / Manufacturing, Medieval, Religious, Territory Building",3.8899
85,123260/suburbia,Suburbia,1,4,90,90,90,7.61132,7.47496,16565,https://cf.geekdo-images.com/images/pic1418335.jpg,8,"Card Drafting, Set Collection, Tile Placement",20034,"City Building, Economic",2.78
86,126042/nations,Nations,1,5,200,40,200,7.72008,7.47395,9023,https://cf.geekdo-images.com/images/pic1591406.png,14,"Card Drafting, Variable Player Powers",9949,"Card Game, Civilization, Economic",3.5429
87,14996/ticket-ride-europe,Ticket to Ride: Europe,2,5,60,30,60,7.58316,7.472,40020,https://cf.geekdo-images.com/images/pic66668.jpg,8,"Card Drafting, Hand Management, Route/Network Building, Set Collection",52159,"Trains, Travel",1.9606
88,43111/chaos-old-world,Chaos in the Old World,3,4,120,60,120,7.68415,7.47011,12070,https://cf.geekdo-images.com/images/pic1318481.jpg,13,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Dice Rolling, Hand Management, Role Playing, Take That, Variable Player Powers",12973,"Fantasy, Fighting, Horror, Mythology, Wargame",3.1753
89,14105/commands-colors-ancients,Commands & Colors: Ancients,2,2,60,60,60,7.78698,7.46889,7077,https://cf.geekdo-images.com/images/pic132447.jpg,12,"Campaign / Battle Card Driven, Dice Rolling, Hand Management, Hex-and-Counter, Modular Board",9036,"Ancient, Wargame",2.6954
90,148949/istanbul,Istanbul,2,5,60,40,60,7.62994,7.46839,15238,https://cf.geekdo-images.com/images/pic1885326.jpg,10,"Dice Rolling, Grid Movement, Modular Board, Pick-up and Deliver",19724,Economic,2.5902
91,17133/railways-world,Railways of the World,2,6,120,120,120,7.69311,7.46523,9750,https://cf.geekdo-images.com/images/pic445850.jpg,10,"Action Point Allowance System, Auction/Bidding, Card Drafting, Pick-up and Deliver, Route/Network Building, Tile Placement",10131,"Trains, Transportation, Video Game Theme",3.0268
92,91/paths-glory,Paths of Glory,2,2,480,480,480,8.01924,7.45487,3767,https://cf.geekdo-images.com/images/pic834645.jpg,14,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement",6828,"Wargame, World War I",3.8253
93,185343/anachrony,Anachrony,1,4,120,30,120,8.18369,7.44982,3229,https://cf.geekdo-images.com/images/pic3499707.jpg,15,"Action Point Allowance System, Card Drafting, Dice Rolling, Variable Player Powers, Worker Placement",5271,"Economic, Science Fiction",3.8621
94,171131/captain-sonar,Captain Sonar,2,8,60,45,60,7.75474,7.44242,7583,https://cf.geekdo-images.com/images/pic3013621.png,14,"Grid Movement, Line Drawing, Partnerships, Role Playing, Secret Unit Deployment, Simultaneous Action Selection",10572,"Deduction, Fighting, Nautical, Real-time",2.0714
95,198928/pandemic-iberia,Pandemic Iberia,2,5,45,45,45,8.08068,7.43759,3465,https://cf.geekdo-images.com/images/pic3000850.png,8,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Trading, Variable Player Powers",7612,Medical,2.6923
96,39463/cosmic-encounter,Cosmic Encounter,3,5,120,60,120,7.58766,7.43726,21100,https://cf.geekdo-images.com/images/pic1521633.jpg,12,"Hand Management, Partnerships, Take That, Variable Player Powers",25570,"Bluffing, Negotiation, Science Fiction, Space Exploration",2.5539
97,21050/combat-commander-europe,Combat Commander: Europe,2,2,180,60,180,7.89699,7.42929,4564,https://cf.geekdo-images.com/images/pic992459.jpg,12,"Campaign / Battle Card Driven, Hex-and-Counter, Simulation, Variable Phase Order",6612,"Wargame, World War II",3.2067
98,9216/goa,Goa,2,4,90,90,90,7.62571,7.41663,10001,https://cf.geekdo-images.com/images/pic1215969.jpg,12,"Auction/Bidding, Hand Management, Press Your Luck",9913,"Economic, Farming, Nautical, Renaissance",3.383
99,77423/lord-rings-card-game,The Lord of the Rings: The Card Game,1,2,60,60,60,7.62885,7.41347,16197,https://cf.geekdo-images.com/images/pic906495.jpg,13,"Co-operative Play, Hand Management, Variable Player Powers",24907,"Adventure, Card Game, Collectible Components, Fantasy, Novel-based",3.1353
